12:30:24 [Skill] INFO  Skill:139 - Connecting to Furhat server on 192.168.0.131:1932
12:30:25 [SpacereceptionistSkill] INFO  SpacereceptionistSkill:166 - Starting skill
12:31:01 [Broker Client] WARN  Event:192 - Could not set field yielding with type class java.lang.Boolean on builder class furhatos.event.actions.ActionSpeech$Builder : null
12:31:01 [Broker Client] WARN  Event:193 - Verify that the SDK/Robot and Skill have the same version of furhat-commons
12:48:12 [Broker Client] WARN  Event:192 - Could not set field masks with type class java.util.ArrayList on builder class furhatos.event.responses.ResponseFace$Builder : null
12:48:12 [Broker Client] WARN  Event:193 - Verify that the SDK/Robot and Skill have the same version of furhat-commons
12:48:12 [Broker Client] WARN  Event:192 - Could not set field character with type class java.lang.String on builder class furhatos.event.responses.ResponseFace$Builder : null
12:48:12 [Broker Client] WARN  Event:193 - Verify that the SDK/Robot and Skill have the same version of furhat-commons
12:48:12 [Broker Client] WARN  Event:192 - Could not set field mask with type class java.lang.String on builder class furhatos.event.responses.ResponseFace$Builder : null
12:48:12 [Broker Client] WARN  Event:193 - Verify that the SDK/Robot and Skill have the same version of furhat-commons
12:50:12 [EventSystem] INFO  SpacereceptionistSkill:184 - Terminating skill
